序号,学科,代码
113,"HOSPITALITY, LEISURE, SPORT & TOURISM 酒店、休闲、体育与旅游",MW
114,"HUMANITIES, MULTIDISCIPLINARY 人文科学",BQ
115,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY 成像科学与照相技术,UE
116,IMMUNOLOGY 免疫学,NI
117,INDUSTRIAL RELATIONS & LABOR 劳动关系学,NM
118,INFECTIOUS DISEASES 传染病学,NN
119,INFORMATION SCIENCE & LIBRARY SCIENCE 图书情报与档案管理,NU
120,INSTRUMENTS & INSTRUMENTATION 仪器仪表,OA
121,INTEGRATIVE & COMPLEMENTARY MEDICINE 全科医学与补充医学,OI
122,INTERNATIONAL RELATIONS 国际关系学,OE
123,LANGUAGE & LINGUISTICS 语言与语言学,OY
124,LAW 法学,OM
125,LIMNOLOGY 湖沼学,OU
126,LINGUISTICS 语言学,OT
127,LITERARY REVIEWS 文学评论,OZ
128,LITERARY THEORY & CRITICISM 文学理论与文艺批评,OX
129,LITERATURE 其他形式的文学,PA
130,"LITERATURE, AFRICAN, AUSTRALIAN, CANADIAN 英联邦文学",PD
131,"LITERATURE, AMERICAN 美国文学",PF
132,"LITERATURE, BRITISH ISLES 英国文学",PG
133,"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN 日耳曼语系文学",PH
134,"LITERATURE, ROMANCE 罗曼语系文学",QC
135,"LITERATURE, SLAVIC 斯拉夫语系文学",QD
136,LOGIC 逻辑学,QL
137,MANAGEMENT 管理学,PC
138,MARINE & FRESHWATER BIOLOGY 海洋与淡水生物学,PI
139,"MATERIALS SCIENCE, BIOMATERIALS 材料科学：生物材料",QE
140,"MATERIALS SCIENCE, CERAMICS 材料科学：硅酸盐",PK
141,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING 材料科学：表征与测试",QF
142,"MATERIALS SCIENCE, COATINGS & FILMS 材料科学：膜",QG
143,"MATERIALS SCIENCE, COMPOSITES 材料科学：复合",QH
144,"MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合",PM
145,"MATERIALS SCIENCE, PAPER & WOOD 材料科学：纸与木材",PJ
146,"MATERIALS SCIENCE, TEXTILES 材料科学：纺织",QJ
147,MATHEMATICAL & COMPUTATIONAL BIOLOGY 数学与计算生物学,MC
148,MATHEMATICS 数学,PQ
149,"MATHEMATICS, APPLIED 应用数学",PN
150,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS 数学跨学科应用",PO
151,MECHANICS 力学,PU
152,MEDICAL ETHICS 医学：伦理,OO
153,MEDICAL INFORMATICS 医学：信息,PT
154,MEDICAL LABORATORY TECHNOLOGY 医学实验技术,PW
155,"MEDICINE, GENERAL & INTERNAL 医学：内科",PY
156,"MEDICINE, LEGAL 医学：法",OP
157,"MEDICINE, RESEARCH & EXPERIMENTAL 医学：研究与实验",QA
158,MEDIEVAL & RENAISSANCE STUDIES 中世纪与文艺复兴研究,QK
159,METALLURGY & METALLURGICAL ENGINEERING 冶金工程,PZ
160,METEOROLOGY & ATMOSPHERIC SCIENCES 气象与大气科学,QQ
161,MICROBIOLOGY 微生物学,QU
162,MICROSCOPY 显微镜技术,RA
163,MINERALOGY 矿物学,RE
164,MINING & MINERAL PROCESSING 矿业与矿物加工,ZQ
165,MULTIDISCIPLINARY SCIENCES 综合性期刊,RO
166,MUSIC 音乐,RP
167,MYCOLOGY 真菌学,RQ
168,NANOSCIENCE & NANOTECHNOLOGY 纳米科技,NS
169,NEUROIMAGING 神经成像,RX
170,NEUROSCIENCES 神经科学,RU
171,NUCLEAR SCIENCE & TECHNOLOGY 核科学技术,RY
172,NURSING 护理,RZ
173,NUTRITION & DIETETICS 营养学,SA
174,OBSTETRICS & GYNECOLOGY 妇产科学,SD
175,OCEANOGRAPHY 海洋学,SI
176,ONCOLOGY 肿瘤学,DM
177,OPERATIONS RESEARCH & MANAGEMENT SCIENCE 运筹学与管理科学,PE
178,OPHTHALMOLOGY 眼科学,SU
179,OPTICS 光学,SY
180,ORNITHOLOGY 鸟类学,TA
181,ORTHOPEDICS 骨科,TC
